model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30-FT-E-M,1,False,12.0,0.325,0.9040000438690186,45.714285714285715,2.4
B30-FT-E-M,1,False,12.0,0.35,0.7160000205039978,31.57894736842105,1.6
B30-FT-E-M,1,False,12.0,0.375,0.48000001907348633,37.368421052631575,0.0
B30-FT-E-M,1,False,12.0,0.4,0.24400001764297485,22.5531914893617,0.0
B30-FT-E-M,1,False,12.0,0.45,0.04400000348687172,5.241935483870968,0.0
B30-FT-E-M,1,False,13.0,0.0,0.9800000190734863,0.0,0.0
B30-FT-E-M,1,False,13.0,0.1,0.9760000705718994,33.33333333333333,1.6
B30-FT-E-M,1,False,13.0,0.2,0.968000054359436,41.66666666666667,1.2
B30-FT-E-M,1,False,13.0,0.3,0.9480000734329224,45.0,0.8
B30-FT-E-M,1,False,13.0,0.325,0.9000000357627869,44.73684210526316,0.4
B30-FT-E-M,1,False,13.0,0.35,0.7400000095367432,40.0,2.4
B30-FT-E-M,1,False,13.0,0.375,0.47600001096725464,35.8974358974359,0.0
B30-FT-E-M,1,False,13.0,0.4,0.24800001084804535,23.52941176470588,0.0
B30-FT-E-M,1,False,13.0,0.45,0.036000002175569534,6.0,0.0
B30-FT-E-M,2,False,0.0,0.0,0.9960000514984131,0.0,0.0
B30-FT-E-M,2,False,0.0,0.1,0.9920000433921814,0.0,0.0
B30-FT-E-M,2,False,0.0,0.2,0.9520000219345093,0.0,0.0
B30-FT-E-M,2,False,0.0,0.3,0.9280000329017639,0.0,0.0
B30-FT-E-M,2,False,0.0,0.325,0.8400000333786011,0.0,0.0
B30-FT-E-M,2,False,0.0,0.35,0.6040000319480896,0.0,0.0
B30-FT-E-M,2,False,0.0,0.375,0.2639999985694885,0.0,0.0
B30-FT-E-M,2,False,0.0,0.4,0.06000000238418579,0.0,0.0
B30-FT-E-M,2,False,0.0,0.45,0.0,0.0,0.0
B30-FT-E-M,2,False,3.0,0.0,0.9960000514984131,0.0,0.0
B30-FT-E-M,2,False,3.0,0.1,0.984000027179718,33.33333333333333,0.4
B30-FT-E-M,2,False,3.0,0.2,0.9720000624656677,25.0,0.0
B30-FT-E-M,2,False,3.0,0.3,0.9480000734329224,42.857142857142854,0.4
B30-FT-E-M,2,False,3.0,0.325,0.8720000386238098,19.444444444444446,0.8
B30-FT-E-M,2,False,3.0,0.35,0.6720000505447388,22.772277227722775,0.8
B30-FT-E-M,2,False,3.0,0.375,0.3720000088214874,19.892473118279568,0.8
B30-FT-E-M,2,False,3.0,0.4,0.08400000631809235,6.25,0.0
B30-FT-E-M,2,False,3.0,0.45,0.012000000104308128,1.2048192771084338,0.0
B30-FT-E-M,2,False,4.0,0.0,0.9960000514984131,0.0,0.0
B30-FT-E-M,2,False,4.0,0.1,0.984000027179718,0.0,0.4
B30-FT-E-M,2,False,4.0,0.2,0.968000054359436,37.5,0.8
B30-FT-E-M,2,False,4.0,0.3,0.9360000491142273,35.0,0.4
B30-FT-E-M,2,False,4.0,0.325,0.8760000467300415,25.0,0.8
B30-FT-E-M,2,False,4.0,0.35,0.6640000343322754,26.21359223300971,1.6
B30-FT-E-M,2,False,4.0,0.375,0.40400001406669617,25.520833333333332,0.4
B30-FT-E-M,2,False,4.0,0.4,0.1600000113248825,15.254237288135593,0.0
B30-FT-E-M,2,False,4.0,0.45,0.012000000104308128,0.4016064257028112,0.0
B30-FT-E-M,2,False,5.0,0.0,0.9880000352859497,0.0,0.0
B30-FT-E-M,2,False,5.0,0.1,0.9800000190734863,0.0,0.0
B30-FT-E-M,2,False,5.0,0.2,0.9720000624656677,40.0,0.4
B30-FT-E-M,2,False,5.0,0.3,0.9360000491142273,31.57894736842105,0.8
B30-FT-E-M,2,False,5.0,0.325,0.8800000548362732,36.36363636363637,0.0
B30-FT-E-M,2,False,5.0,0.35,0.7240000367164612,31.0,0.4
B30-FT-E-M,2,False,5.0,0.375,0.4280000329017639,26.6304347826087,0.4
B30-FT-E-M,2,False,5.0,0.4,0.1680000126361847,13.559322033898304,0.0
B30-FT-E-M,2,False,5.0,0.45,0.01600000075995922,1.6,0.0
B30-FT-E-M,2,False,6.0,0.0,0.9800000190734863,0.0,0.0
B30-FT-E-M,2,False,6.0,0.1,0.9800000190734863,0.0,0.8
B30-FT-E-M,2,False,6.0,0.2,0.9760000705718994,50.0,0.8
B30-FT-E-M,2,False,6.0,0.3,0.9440000653266907,66.66666666666666,1.2
B30-FT-E-M,2,False,6.0,0.325,0.8960000276565552,30.952380952380953,0.8
B30-FT-E-M,2,False,6.0,0.35,0.7040000557899475,34.65346534653465,1.6
B30-FT-E-M,2,False,6.0,0.375,0.46800002455711365,31.216931216931215,0.4
B30-FT-E-M,2,False,6.0,0.4,0.19600000977516174,18.907563025210084,0.0
B30-FT-E-M,2,False,6.0,0.45,0.03200000151991844,4.8,0.0
B30-FT-E-M,2,False,7.0,0.0,0.9800000190734863,0.0,0.0
B30-FT-E-M,2,False,7.0,0.1,0.9760000705718994,0.0,0.4
B30-FT-E-M,2,False,7.0,0.2,0.9640000462532043,44.44444444444444,1.2
B30-FT-E-M,2,False,7.0,0.3,0.9520000219345093,50.0,2.0
B30-FT-E-M,2,False,7.0,0.325,0.9080000519752502,40.0,2.8000000000000003
B30-FT-E-M,2,False,7.0,0.35,0.7080000042915344,34.285714285714285,2.0
B30-FT-E-M,2,False,7.0,0.375,0.484000027179718,35.41666666666667,0.0
B30-FT-E-M,2,False,7.0,0.4,0.2200000137090683,22.362869198312236,0.0
B30-FT-E-M,2,False,7.0,0.45,0.03200000151991844,3.614457831325301,0.0
