model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30,2,True,0.0,0.1,0.0,0.0,0.0
B30,2,True,0.0,0.125,0.0,0.0,0.0
B30,2,True,10.0,0.0,0.9880000352859497,0.0,1.2
B30,2,True,10.0,0.025,0.6440000534057617,28.865979381443296,5.6000000000000005
B30,2,True,10.0,0.05,0.164000004529953,6.403940886699508,7.6
B30,2,True,10.0,0.075,0.01600000075995922,0.8333333333333334,3.2
B30,2,True,10.0,0.1,0.004000000189989805,0.4032258064516129,0.4
B30,2,True,10.0,0.125,0.0,0.0,0.0
B30,2,True,15.0,0.0,0.9760000705718994,0.0,2.0
B30,2,True,15.0,0.025,0.6360000371932983,30.58823529411765,11.600000000000001
B30,2,True,15.0,0.05,0.18800000846385956,9.090909090909092,12.8
B30,2,True,15.0,0.075,0.04000000283122063,4.23728813559322,4.3999999999999995
B30,2,True,15.0,0.1,0.012000000104308128,0.8264462809917356,2.8000000000000003
B30,2,True,15.0,0.125,0.0,0.0,0.8
B30,2,True,20.0,0.0,0.9720000624656677,0.0,2.4
B30,2,True,20.0,0.025,0.5879999995231628,35.0,14.799999999999999
B30,2,True,20.0,0.05,0.19600000977516174,9.142857142857142,14.399999999999999
B30,2,True,20.0,0.075,0.04400000348687172,4.219409282700422,4.0
B30,2,True,20.0,0.1,0.00800000037997961,0.8298755186721992,3.5999999999999996
B30,2,True,20.0,0.125,0.0,0.0,0.8
B30,2,True,25.0,0.0,0.9640000462532043,0.0,4.8
B30,2,True,25.0,0.025,0.5760000348091125,34.66666666666667,18.0
B30,2,True,25.0,0.05,0.19600000977516174,10.559006211180124,20.8
B30,2,True,25.0,0.075,0.052000001072883606,5.333333333333334,8.4
B30,2,True,25.0,0.1,0.01600000075995922,2.0491803278688523,2.4
B30,2,True,25.0,0.125,0.00800000037997961,0.4048582995951417,1.2
B30,2,True,30.0,0.0,0.9440000653266907,0.0,6.4
B30,2,True,30.0,0.025,0.5560000538825989,34.32835820895522,21.2
B30,2,True,30.0,0.05,0.20000000298023224,12.650602409638553,19.6
B30,2,True,30.0,0.075,0.0560000017285347,5.529953917050691,10.0
B30,2,True,30.0,0.1,0.020000001415610313,2.459016393442623,2.0
B30,2,True,30.0,0.125,0.01600000075995922,1.6194331983805668,1.2
B30,2,True,40.0,0.0,0.9240000247955322,0.0,9.2
B30,2,True,40.0,0.025,0.5120000243186951,33.33333333333333,27.6
B30,2,True,40.0,0.05,0.19200000166893005,16.99346405228758,24.0
