model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30,1,False,55.0,0.2,0.03200000151991844,3.2,0.0
B30,1,False,60.0,0.0,0.7800000309944153,0.0,20.4
B30,1,False,60.0,0.025,0.7920000553131104,66.3716814159292,4.3999999999999995
B30,1,False,60.0,0.05,0.628000020980835,67.40088105726872,1.6
B30,1,False,60.0,0.075,0.4360000193119049,49.596774193548384,0.4
B30,1,False,60.0,0.1,0.2680000066757202,33.6,0.0
B30,1,False,60.0,0.125,0.11600000411272049,19.2,0.0
B30,1,False,60.0,0.15,0.07600000500679016,12.4,0.0
B30,1,False,60.0,0.175,0.04800000041723251,8.0,0.0
B30,1,False,60.0,0.2,0.06400000303983688,7.6,0.0
B30,1,False,65.0,0.0,0.7800000309944153,0.0,22.0
B30,1,False,65.0,0.025,0.796000063419342,63.63636363636363,6.0
B30,1,False,65.0,0.05,0.6360000371932983,68.88888888888889,2.8000000000000003
B30,1,False,65.0,0.075,0.4360000193119049,52.82258064516129,0.4
B30,1,False,65.0,0.1,0.29200002551078796,36.0,0.0
B30,1,False,65.0,0.125,0.15200001001358032,23.200000000000003,0.0
B30,1,False,65.0,0.15,0.10000000149011612,14.000000000000002,0.0
B30,1,False,65.0,0.175,0.08400000631809235,10.0,0.0
B30,1,False,65.0,0.2,0.06400000303983688,7.6,0.0
B30,1,False,70.0,0.0,0.7680000066757202,0.0,24.0
B30,1,False,70.0,0.025,0.796000063419342,67.24137931034483,6.4
B30,1,False,70.0,0.05,0.6320000290870667,68.44444444444444,2.0
B30,1,False,70.0,0.075,0.47200003266334534,58.06451612903226,0.4
B30,1,False,70.0,0.1,0.320000022649765,38.55421686746988,0.0
B30,1,False,70.0,0.125,0.20800000429153442,26.8,0.0
B30,1,False,70.0,0.15,0.14400000870227814,20.0,0.0
B30,1,False,70.0,0.175,0.1080000028014183,11.600000000000001,0.0
B30,1,False,70.0,0.2,0.07200000435113907,10.4,0.0
B30,1,False,75.0,0.0,0.7520000338554382,0.0,24.4
B30,1,False,75.0,0.025,0.7880000472068787,66.66666666666666,7.199999999999999
B30,1,False,75.0,0.05,0.656000018119812,69.05829596412556,2.4
B30,1,False,75.0,0.075,0.5,58.87096774193549,0.4
B30,1,False,75.0,0.1,0.3440000116825104,44.4,0.0
B30,1,False,75.0,0.125,0.23600001633167267,32.0,0.0
B30,1,False,75.0,0.15,0.1600000113248825,23.599999999999998,0.0
B30,1,False,75.0,0.175,0.10400000214576721,17.2,0.0
B30,1,False,75.0,0.2,0.06000000238418579,9.2,0.0
B30,1,False,80.0,0.0,0.7400000095367432,0.0,26.400000000000002
B30,1,False,80.0,0.025,0.7880000472068787,68.10344827586206,6.4
B30,1,False,80.0,0.05,0.6520000100135803,67.42081447963801,2.8000000000000003
B30,1,False,80.0,0.075,0.5120000243186951,56.451612903225815,0.4
B30,1,False,80.0,0.1,0.3880000114440918,45.6,0.0
B30,1,False,80.0,0.125,0.2680000066757202,34.0,0.0
B30,1,False,80.0,0.15,0.18800000846385956,26.8,0.0
B30,1,False,80.0,0.175,0.13600000739097595,17.599999999999998,0.0
B30,1,False,80.0,0.2,0.10000000149011612,13.600000000000001,0.0
B30,2,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,2,False,0.0,0.025,0.5120000243186951,0.0,0.0
B30,2,False,0.0,0.05,0.08400000631809235,0.0,0.0
B30,2,False,0.0,0.075,0.0,0.0,0.0
B30,2,False,0.0,0.1,0.0,0.0,0.0
B30,2,False,0.0,0.125,0.0,0.0,0.0
B30,2,False,0.0,0.15,0.0,0.0,0.0
B30,2,False,0.0,0.175,0.0,0.0,0.0
B30,2,False,0.0,0.2,0.0,0.0,0.0
B30,2,False,10.0,0.0,0.9880000352859497,0.0,1.2
B30,2,False,10.0,0.025,0.7480000257492065,47.008547008547005,0.8
B30,2,False,10.0,0.05,0.2760000228881836,20.81447963800905,0.8
B30,2,False,10.0,0.075,0.01600000075995922,4.016064257028113,0.0
B30,2,False,10.0,0.1,0.004000000189989805,0.4,0.0
B30,2,False,10.0,0.125,0.004000000189989805,0.0,0.0
B30,2,False,10.0,0.15,0.0,0.0,0.0
B30,2,False,10.0,0.175,0.0,0.0,0.0
B30,2,False,10.0,0.2,0.0,0.0,0.0
B30,2,False,15.0,0.0,0.9800000190734863,0.0,2.0
B30,2,False,15.0,0.025,0.7760000228881836,58.92857142857143,1.6
B30,2,False,15.0,0.05,0.3920000195503235,33.33333333333333,1.2
B30,2,False,15.0,0.075,0.1120000034570694,15.2,0.0
B30,2,False,15.0,0.1,0.024000000208616257,2.8000000000000003,0.0
B30,2,False,15.0,0.125,0.00800000037997961,0.8,0.0
B30,2,False,15.0,0.15,0.0,0.4,0.0
B30,2,False,15.0,0.175,0.0,0.4,0.0
B30,2,False,15.0,0.2,0.004000000189989805,0.4,0.0
B30,2,False,20.0,0.0,0.9720000624656677,0.0,3.5999999999999996
B30,2,False,20.0,0.025,0.800000011920929,62.16216216216216,1.6
B30,2,False,20.0,0.05,0.4480000138282776,45.13274336283185,1.2
B30,2,False,20.0,0.075,0.20800000429153442,22.983870967741936,0.0
B30,2,False,20.0,0.1,0.052000001072883606,6.4,0.0
B30,2,False,20.0,0.125,0.01600000075995922,3.2,0.0
B30,2,False,20.0,0.15,0.004000000189989805,0.8,0.0
B30,2,False,20.0,0.175,0.020000001415610313,2.0,0.0
B30,2,False,20.0,0.2,0.0,0.0,0.0
B30,2,False,25.0,0.0,0.9440000653266907,0.0,5.2
B30,2,False,25.0,0.025,0.8080000281333923,65.21739130434783,2.0
B30,2,False,25.0,0.05,0.5,52.488687782805435,2.4
B30,2,False,25.0,0.075,0.29600000381469727,31.72690763052209,0.0
B30,2,False,25.0,0.1,0.13600000739097595,17.2,0.0
B30,2,False,25.0,0.125,0.08000000566244125,8.799999999999999,0.0
B30,2,False,25.0,0.15,0.04800000041723251,6.0,0.0
B30,2,False,25.0,0.175,0.012000000104308128,1.6,0.0
B30,2,False,25.0,0.2,0.020000001415610313,1.2,0.0
B30,2,False,30.0,0.0,0.9240000247955322,0.0,7.6
B30,2,False,30.0,0.025,0.796000063419342,64.95726495726495,2.8000000000000003
B30,2,False,30.0,0.05,0.5560000538825989,57.20720720720721,1.6
B30,2,False,30.0,0.075,0.3400000035762787,38.800000000000004,0.0
B30,2,False,30.0,0.1,0.20400001108646393,26.400000000000002,0.0
B30,2,False,30.0,0.125,0.10400000214576721,14.000000000000002,0.0
B30,2,False,30.0,0.15,0.08800000697374344,9.2,0.0
B30,2,False,30.0,0.175,0.0560000017285347,6.4,0.0
B30,2,False,30.0,0.2,0.02800000086426735,3.2,0.0
B30,2,False,35.0,0.0,0.9000000357627869,0.0,9.6
B30,2,False,35.0,0.025,0.8040000200271606,65.8119658119658,3.2
B30,2,False,35.0,0.05,0.6000000238418579,64.70588235294117,2.0
B30,2,False,35.0,0.075,0.3840000033378601,46.37096774193548,0.4
B30,2,False,35.0,0.1,0.24000000953674316,32.4,0.0
B30,2,False,35.0,0.125,0.15600000321865082,22.400000000000002,0.0
B30,2,False,35.0,0.15,0.10400000214576721,14.399999999999999,0.0
B30,2,False,35.0,0.175,0.04000000283122063,7.6,0.0
B30,2,False,35.0,0.2,0.06000000238418579,8.0,0.0
B30,2,False,40.0,0.0,0.8680000305175781,0.0,12.0
B30,2,False,40.0,0.025,0.8080000281333923,66.3716814159292,3.2
B30,2,False,40.0,0.05,0.6320000290870667,65.929203539823,2.0
B30,2,False,40.0,0.075,0.46800002455711365,51.80722891566265,0.4
B30,2,False,40.0,0.1,0.29200002551078796,38.0,0.0
B30,2,False,40.0,0.125,0.20800000429153442,26.400000000000002,0.0
B30,2,False,40.0,0.15,0.13199999928474426,19.2,0.0
B30,2,False,40.0,0.175,0.10000000149011612,13.200000000000001,0.0
B30,2,False,40.0,0.2,0.06400000303983688,9.2,0.0
B30,2,False,45.0,0.0,0.8440000414848328,0.0,14.399999999999999
B30,2,False,45.0,0.025,0.8040000200271606,65.78947368421053,5.6000000000000005
B30,2,False,45.0,0.05,0.656000018119812,68.28193832599119,2.4
