model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches,harm_rate
B30,2,False,20.0,0.125,0.036000002175569534,3.5999999999999996,0.0
B30,2,False,25.0,0.0,0.9440000653266907,0.0,5.2
B30,2,False,25.0,0.025,0.8040000200271606,63.716814159292035,2.8000000000000003
B30,2,False,25.0,0.05,0.5160000324249268,53.39366515837104,1.6
B30,2,False,25.0,0.075,0.25200000405311584,29.435483870967744,0.0
B30,2,False,25.0,0.1,0.11600000411272049,16.0,0.0
B30,2,False,25.0,0.125,0.06400000303983688,8.0,0.0
B30,2,False,30.0,0.0,0.9240000247955322,0.0,7.6
B30,2,False,30.0,0.025,0.8160000443458557,66.98113207547169,2.8000000000000003
B30,2,False,30.0,0.05,0.5840000510215759,61.43497757847533,2.0
B30,2,False,30.0,0.075,0.3400000035762787,38.306451612903224,0.4
B30,2,False,30.0,0.1,0.19600000977516174,26.0,0.0
B30,2,False,30.0,0.125,0.10400000214576721,18.4,0.0
B30,2,False,40.0,0.0,0.8680000305175781,0.0,12.0
B30,2,False,40.0,0.025,0.8040000200271606,61.904761904761905,4.0
B30,2,False,40.0,0.05,0.6240000128746033,64.88888888888889,1.6
B30,2,False,40.0,0.075,0.4400000274181366,51.40562248995983,0.0
B30,2,False,40.0,0.1,0.30000001192092896,36.4,0.0
B30,2,False,40.0,0.125,0.2120000123977661,29.2,0.0
B30,2,False,50.0,0.0,0.8320000171661377,0.0,15.6
B30,2,False,50.0,0.025,0.800000011920929,65.76576576576578,4.8
B30,2,False,50.0,0.05,0.6600000262260437,69.95515695067265,2.8000000000000003
B30,2,False,50.0,0.075,0.5160000324249268,59.51417004048582,0.8
B30,2,False,50.0,0.1,0.3760000169277191,46.400000000000006,0.0
B30,2,False,50.0,0.125,0.30400002002716064,36.8,0.0
B30,3,False,0.0,0.0,0.9920000433921814,0.0,0.0
B30,3,False,0.0,0.025,0.5440000295639038,0.0,0.0
B30,3,False,0.0,0.05,0.1120000034570694,0.0,0.0
B30,3,False,0.0,0.075,0.004000000189989805,0.0,0.0
B30,3,False,0.0,0.1,0.0,0.0,0.0
B30,3,False,0.0,0.125,0.0,0.0,0.0
B30,3,False,10.0,0.0,0.9880000352859497,0.0,0.8
B30,3,False,10.0,0.025,0.7320000529289246,44.91525423728814,0.4
B30,3,False,10.0,0.05,0.29600000381469727,22.869955156950674,0.8
B30,3,False,10.0,0.075,0.08800000697374344,8.064516129032258,0.0
B30,3,False,10.0,0.1,0.020000001415610313,2.0,0.0
B30,3,False,10.0,0.125,0.004000000189989805,0.8,0.0
B30,3,False,15.0,0.0,0.984000027179718,0.0,1.2
B30,3,False,15.0,0.025,0.7760000228881836,58.620689655172406,1.6
B30,3,False,15.0,0.05,0.4000000059604645,36.771300448430495,2.4
B30,3,False,15.0,0.075,0.18000000715255737,20.56451612903226,0.0
B30,3,False,15.0,0.1,0.06400000303983688,9.6,0.0
B30,3,False,15.0,0.125,0.020000001415610313,2.0,0.0
B30,3,False,20.0,0.0,0.9800000190734863,0.0,1.6
B30,3,False,20.0,0.025,0.7760000228881836,60.0,1.2
B30,3,False,20.0,0.05,0.46800002455711365,48.64864864864865,2.4
B30,3,False,20.0,0.075,0.2639999985694885,31.048387096774192,0.4
B30,3,False,20.0,0.1,0.14000000059604645,17.2,0.0
B30,3,False,20.0,0.125,0.08000000566244125,9.2,0.0
B30,3,False,25.0,0.0,0.9640000462532043,0.0,3.5999999999999996
B30,3,False,25.0,0.025,0.784000039100647,64.34782608695652,1.6
B30,3,False,25.0,0.05,0.5440000295639038,57.20720720720721,2.4
B30,3,False,25.0,0.075,0.34800001978874207,38.70967741935484,0.4
B30,3,False,25.0,0.1,0.20800000429153442,25.2,0.0
B30,3,False,25.0,0.125,0.1120000034570694,14.799999999999999,0.0
B30,3,False,30.0,0.0,0.9480000734329224,0.0,4.3999999999999995
B30,3,False,30.0,0.025,0.8040000200271606,66.95652173913044,2.4
B30,3,False,30.0,0.05,0.6080000400543213,61.36363636363637,1.2
B30,3,False,30.0,0.075,0.41200003027915955,50.20080321285141,0.4
B30,3,False,30.0,0.1,0.2880000174045563,33.6,0.0
B30,3,False,30.0,0.125,0.18000000715255737,23.599999999999998,0.0
B30,3,False,40.0,0.0,0.9120000600814819,0.0,8.0
B30,3,False,40.0,0.025,0.796000063419342,66.3716814159292,3.2
B30,3,False,40.0,0.05,0.6480000019073486,67.27272727272727,3.2
B30,3,False,40.0,0.075,0.5160000324249268,60.24096385542169,0.0
B30,3,False,40.0,0.1,0.3760000169277191,45.6,0.0
B30,3,False,40.0,0.125,0.3240000009536743,39.6,0.0
B30,3,False,50.0,0.0,0.8760000467300415,0.0,11.200000000000001
B30,3,False,50.0,0.025,0.7880000472068787,66.96428571428571,4.3999999999999995
B30,3,False,50.0,0.05,0.656000018119812,69.68325791855203,2.8000000000000003
B30,3,False,50.0,0.075,0.5800000429153442,63.45381526104418,0.0
B30,3,False,50.0,0.1,0.47200003266334534,57.99999999999999,0.0
B30,3,False,50.0,0.125,0.3800000250339508,49.6,0.0
B30,2,True,0.0,0.0,0.9920000433921814,0.0,0.0
B30,2,True,0.0,0.025,0.5360000133514404,0.0,0.0
B30,2,True,0.0,0.05,0.11600000411272049,0.0,0.0
B30,2,True,0.0,0.075,0.004000000189989805,0.0,0.0
B30,2,True,0.0,0.1,0.004000000189989805,0.0,0.0
B30,2,True,0.0,0.125,0.0,0.0,0.0
B30,2,True,10.0,0.0,0.9880000352859497,0.0,1.2
B30,2,True,10.0,0.025,0.7120000123977661,46.017699115044245,2.0
B30,2,True,10.0,0.05,0.23200000822544098,18.58407079646018,0.0
B30,2,True,10.0,0.075,0.03200000151991844,4.417670682730924,0.0
B30,2,True,10.0,0.1,0.004000000189989805,0.0,0.0
B30,2,True,10.0,0.125,0.004000000189989805,0.4,0.0
B30,2,True,15.0,0.0,0.9760000705718994,0.0,1.6
B30,2,True,15.0,0.025,0.784000039100647,58.97435897435898,2.4
B30,2,True,15.0,0.05,0.3360000252723694,30.701754385964914,0.4
B30,2,True,15.0,0.075,0.10400000214576721,12.048192771084338,0.0
B30,2,True,15.0,0.1,0.024000000208616257,2.0,0.0
B30,2,True,15.0,0.125,0.012000000104308128,1.2,0.0
B30,2,True,20.0,0.0,0.968000054359436,0.0,2.8000000000000003
B30,2,True,20.0,0.025,0.7720000147819519,60.526315789473685,2.4
B30,2,True,20.0,0.05,0.45600003004074097,44.34389140271493,1.6
B30,2,True,20.0,0.075,0.164000004529953,20.161290322580644,0.0
B30,2,True,20.0,0.1,0.06800000369548798,7.199999999999999,0.0
B30,2,True,20.0,0.125,0.03200000151991844,3.5999999999999996,0.0
B30,2,True,25.0,0.0,0.9440000653266907,0.0,5.2
B30,2,True,25.0,0.025,0.7880000472068787,63.47826086956522,1.6
B30,2,True,25.0,0.05,0.5040000081062317,51.141552511415526,2.0
B30,2,True,25.0,0.075,0.18800000846385956,24.4,0.0
B30,2,True,25.0,0.1,0.10400000214576721,13.654618473895583,0.0
B30,2,True,25.0,0.125,0.04400000348687172,6.0,0.0
B30,2,True,30.0,0.0,0.9360000491142273,0.0,7.199999999999999
B30,2,True,30.0,0.025,0.784000039100647,62.28070175438597,4.3999999999999995
B30,2,True,30.0,0.05,0.5680000185966492,57.65765765765766,2.4
B30,2,True,30.0,0.075,0.2720000147819519,34.93975903614458,0.4
B30,2,True,30.0,0.1,0.14400000870227814,18.0,0.0
B30,2,True,30.0,0.125,0.08800000697374344,12.0,0.0
B30,2,True,40.0,0.0,0.8680000305175781,0.0,11.600000000000001
B30,2,True,40.0,0.025,0.800000011920929,66.66666666666666,3.5999999999999996
B30,2,True,40.0,0.05,0.612000048160553,63.83928571428571,1.6
B30,2,True,40.0,0.075,0.41200003027915955,46.800000000000004,0.0
B30,2,True,40.0,0.1,0.25600001215934753,33.2,0.0
B30,2,True,40.0,0.125,0.15600000321865082,22.0,0.0
B30,2,True,50.0,0.0,0.8280000686645508,0.0,16.400000000000002
B30,2,True,50.0,0.025,0.7880000472068787,68.42105263157895,6.800000000000001
B30,2,True,50.0,0.05,0.6360000371932983,68.88888888888889,2.8000000000000003
B30,2,True,50.0,0.075,0.5080000162124634,56.451612903225815,0.4
B30,2,True,50.0,0.1,0.3320000171661377,40.8,0.0
B30,2,True,50.0,0.125,0.23600001633167267,31.2,0.0
B30,3,True,0.0,0.0,0.9920000433921814,0.0,0.0
B30,3,True,0.0,0.025,0.5360000133514404,0.0,0.0
B30,3,True,0.0,0.05,0.10400000214576721,0.0,0.0
B30,3,True,0.0,0.075,0.00800000037997961,0.0,0.0
B30,3,True,0.0,0.1,0.0,0.0,0.0
B30,3,True,0.0,0.125,0.0,0.0,0.0
B30,3,True,10.0,0.0,0.9880000352859497,0.0,0.4
B30,3,True,10.0,0.025,0.6920000314712524,40.35087719298245,1.2
B30,3,True,10.0,0.05,0.29200002551078796,19.555555555555557,0.8
B30,3,True,10.0,0.075,0.0560000017285347,7.199999999999999,0.0
B30,3,True,10.0,0.1,0.00800000037997961,0.4,0.0
B30,3,True,10.0,0.125,0.004000000189989805,0.0,0.0
B30,3,True,15.0,0.0,0.984000027179718,0.0,1.2
B30,3,True,15.0,0.025,0.7480000257492065,52.17391304347826,1.6
B30,3,True,15.0,0.05,0.3720000088214874,32.142857142857146,0.4
B30,3,True,15.0,0.075,0.1080000028014183,11.646586345381527,0.0
B30,3,True,15.0,0.1,0.04400000348687172,3.614457831325301,0.0
B30,3,True,15.0,0.125,0.020000001415610313,2.0,0.0
B30,3,True,20.0,0.0,0.9800000190734863,0.0,1.6
B30,3,True,20.0,0.025,0.784000039100647,58.26086956521739,1.6
B30,3,True,20.0,0.05,0.4440000355243683,45.248868778280546,2.4
B30,3,True,20.0,0.075,0.2160000056028366,25.301204819277107,0.4
B30,3,True,20.0,0.1,0.08400000631809235,13.600000000000001,0.0
B30,3,True,20.0,0.125,0.052000001072883606,6.0,0.0
B30,3,True,25.0,0.0,0.968000054359436,0.0,2.0
B30,3,True,25.0,0.025,0.7880000472068787,63.06306306306306,2.0
B30,3,True,25.0,0.05,0.5240000486373901,55.45454545454545,1.6
B30,3,True,25.0,0.075,0.320000022649765,35.483870967741936,0.4
B30,3,True,25.0,0.1,0.15600000321865082,22.400000000000002,0.0
B30,3,True,25.0,0.125,0.12000000476837158,15.2,0.0
B30,3,True,30.0,0.0,0.9480000734329224,0.0,4.0
B30,3,True,30.0,0.025,0.7880000472068787,64.34782608695652,3.2
B30,3,True,30.0,0.05,0.5720000267028809,60.0896860986547,1.6
B30,3,True,30.0,0.075,0.328000009059906,40.0,0.0
B30,3,True,30.0,0.1,0.24400001764297485,33.2,0.0
B30,3,True,30.0,0.125,0.13600000739097595,19.6,0.0
B30,3,True,40.0,0.0,0.9360000491142273,0.0,7.199999999999999
B30,3,True,40.0,0.025,0.800000011920929,63.793103448275865,3.5999999999999996
B30,3,True,40.0,0.05,0.6040000319480896,63.22869955156951,2.4
B30,3,True,40.0,0.075,0.46400001645088196,52.0,0.0
B30,3,True,40.0,0.1,0.3240000009536743,40.400000000000006,0.0
B30,3,True,40.0,0.125,0.2840000092983246,34.4,0.0
B30,3,True,50.0,0.0,0.8880000710487366,0.0,11.200000000000001
B30,3,True,50.0,0.025,0.7800000309944153,65.8119658119658,4.8
B30,3,True,50.0,0.05,0.6520000100135803,68.91891891891892,2.4
B30,3,True,50.0,0.075,0.5400000214576721,59.67741935483871,0.8
B30,3,True,50.0,0.1,0.4320000112056732,50.4,0.0
B30,3,True,50.0,0.125,0.35200002789497375,42.0,0.0
