model,power,use_shift,gamma,epsilon,accuracy,suppressed_matches
B30,2,True,15.0,0.025,0.6160000562667847,31.868131868131865
B30,2,True,15.0,0.05,0.19200000166893005,10.052910052910052
B30,2,True,15.0,0.075,0.036000002175569534,2.510460251046025
B30,2,True,15.0,0.1,0.0,0.4098360655737705
B30,2,True,15.0,0.125,0.0,0.0
B30,2,True,20.0,0.0,0.9720000624656677,0.0
B30,2,True,20.0,0.025,0.5800000429153442,26.31578947368421
B30,2,True,20.0,0.05,0.20000000298023224,10.227272727272728
B30,2,True,20.0,0.075,0.04800000041723251,3.862660944206009
B30,2,True,20.0,0.1,0.012000000104308128,0.8298755186721992
B30,2,True,20.0,0.125,0.0,0.0
B30,2,True,25.0,0.0,0.9640000462532043,0.0
B30,2,True,25.0,0.025,0.5640000104904175,34.66666666666667
B30,2,True,25.0,0.05,0.19200000166893005,10.778443113772456
B30,2,True,25.0,0.075,0.06400000303983688,4.054054054054054
B30,2,True,25.0,0.1,0.020000001415610313,2.4390243902439024
B30,2,True,25.0,0.125,0.004000000189989805,0.0
B30,2,True,30.0,0.0,0.9440000653266907,0.0
B30,2,True,30.0,0.025,0.5480000376701355,31.428571428571427
B30,2,True,30.0,0.05,0.17600001394748688,13.253012048192772
B30,2,True,30.0,0.075,0.06400000303983688,9.375
B30,2,True,30.0,0.1,0.024000000208616257,3.3333333333333335
B30,2,True,30.0,0.125,0.012000000104308128,0.8064516129032258
B30,2,True,40.0,0.0,0.9240000247955322,0.0
B30,2,True,40.0,0.025,0.5200000405311584,31.57894736842105
B30,2,True,40.0,0.05,0.18400001525878906,16.447368421052634
B30,2,True,40.0,0.075,0.06000000238418579,7.109004739336493
B30,2,True,40.0,0.1,0.04400000348687172,3.375527426160337
B30,2,True,40.0,0.125,0.012000000104308128,1.2096774193548387
B30,2,True,50.0,0.0,0.9000000357627869,0.0
B30,2,True,50.0,0.025,0.46800002455711365,21.568627450980394
B30,2,True,50.0,0.05,0.17600001394748688,15.172413793103448
B30,2,True,50.0,0.075,0.06800000369548798,5.88235294117647
B30,2,True,50.0,0.1,0.02800000086426735,3.389830508474576
B30,2,True,50.0,0.125,0.024000000208616257,2.0408163265306123
B30,3,True,0.0,0.0,0.9920000433921814,0.0
B30,3,True,0.0,0.025,0.5440000295639038,0.0
B30,3,True,0.0,0.05,0.09200000762939453,0.0
B30,3,True,0.0,0.075,0.004000000189989805,0.0
B30,3,True,0.0,0.1,0.0,0.0
B30,3,True,0.0,0.125,0.0,0.0
B30,3,True,10.0,0.0,0.9880000352859497,0.0
B30,3,True,10.0,0.025,0.656000018119812,24.731182795698924
B30,3,True,10.0,0.05,0.1680000126361847,5.970149253731343
B30,3,True,10.0,0.075,0.01600000075995922,0.42016806722689076
B30,3,True,10.0,0.1,0.0,0.0
B30,3,True,10.0,0.125,0.0,0.0
B30,3,True,15.0,0.0,0.9800000190734863,0.0
B30,3,True,15.0,0.025,0.612000048160553,26.744186046511626
B30,3,True,15.0,0.05,0.1600000113248825,7.142857142857142
B30,3,True,15.0,0.075,0.02800000086426735,2.0746887966804977
B30,3,True,15.0,0.1,0.0,0.0
B30,3,True,15.0,0.125,0.0,0.0
B30,3,True,20.0,0.0,0.9800000190734863,0.0
B30,3,True,20.0,0.025,0.5680000185966492,32.94117647058823
B30,3,True,20.0,0.05,0.20000000298023224,10.614525139664805
B30,3,True,20.0,0.075,0.04000000283122063,2.553191489361702
B30,3,True,20.0,0.1,0.004000000189989805,0.0
